cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,fetuses[].ratios[].calculated_percentile,FL/AC,int,integer,0,4/5,OBX Fetus.FemurUndefinedLengthOverAbdominalCircumference,FL / AC,Ratio femur length / Abdominal circumference,float (NM),decimal,0.2122 (0.21)|0.1746 (0.17)|0.2323 (0.23)|0.2247 (0.22)|0.2219 (0.22)|0.2179 (0.22),6/7,
biometry,fetuses[].ratios[].calculated_percentile,FL/BPD,int,integer,0,4/5,OBX Fetus.FemurUndefinedLengthOverBiparietalDiameter,FL / BPD,Ratio femur length / Biparietal diameter,float (NM),decimal,0.5974 (0.60)|0.6447 (0.64)|0.6967 (0.70)|0.8051 (0.81)|0.7181 (0.72)|0.7303 (0.73),6/7,
biometry,fetuses[].ratios[].calculated_percentile,HC/AC,int,integer,0,4/5,OBX Fetus.HeadCircumferenceOverAbdominalCircumference,HC / AC,Ratio head circumference / Abdominal circumference,float (NM),decimal,1.16|1.13|1.24|1.04|1.1 (1.10)|1.25,6/7,
biometry,fetuses[].ratios[].decimal_paces,FL/AC,int,integer,0,4/5,,,,,,,,
biometry,fetuses[].ratios[].decimal_paces,FL/BPD,int,integer,0,4/5,,,,,,,,
biometry,fetuses[].ratios[].decimal_paces,HC/AC,int,integer,2,4/5,,,,,,,,
biometry,fetuses[].ratios[].fetus_number,FL/AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].ratios[].fetus_number,FL/BPD,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].ratios[].fetus_number,HC/AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].ratios[].label,FL/AC,str,coded_text,FL/AC,4/5,,,,,,,,
biometry,fetuses[].ratios[].label,FL/BPD,str,coded_text,FL/BPD,4/5,,,,,,,,
biometry,fetuses[].ratios[].label,HC/AC,str,coded_text,HC/AC,4/5,,,,,,,,
biometry,fetuses[].ratios[].percentile_for_display,FL/AC,str,empty,,4/5,,,,,,,,
biometry,fetuses[].ratios[].percentile_for_display,FL/BPD,str,empty,,4/5,,,,,,,,
biometry,fetuses[].ratios[].percentile_for_display,HC/AC,str,empty,,4/5,,,,,,,,
biometry,fetuses[].ratios[].print_in_report,FL/AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].ratios[].print_in_report,FL/BPD,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].ratios[].print_in_report,HC/AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].ratios[].range,FL/AC,str,coded_text,20 - 24,4/5,,,,,,,,
biometry,fetuses[].ratios[].range,FL/BPD,str,coded_text,71 - 87,4/5,,,,,,,,
biometry,fetuses[].ratios[].range,HC/AC,str,coded_text,1.04 - 1.22|1.05 - 1.21|0.93 - 1.11|1.05 - 1.22,4/5,,,,,,,,
biometry,fetuses[].ratios[].value,FL/AC,float|int,decimal|integer,22.149|21.653|21.424|20,4/5,,,,,,,,
biometry,fetuses[].ratios[].value,FL/BPD,float|int,decimal|integer,75|71.256|74.329|72.857,4/5,,,,,,,,
